profile_id,counter_id,direction,display_name,file,lat,lon,data_points
Z067_A3 und Schimmelstrasse,Z067,A3 und Schimmelstrasse,Z067 - Manessestrasse (Stauffacherquai) (A3 und Schimmelstrasse),data/prepared/profiles/Z067_A3 und Schimmelstrasse.csv,47.36930547708145,8.527264999763277,1440
Z068_Bahnhof Wiedikon,Z068,Bahnhof Wiedikon,Z068 - Schimmelstrasse (Werdstrasse) (Bahnhof Wiedikon),data/prepared/profiles/Z068_Bahnhof Wiedikon.csv,47.37024319765525,8.525012698125085,1440
Z068_Manessestrasse,Z068,Manessestrasse,Z068 - Schimmelstrasse (Werdstrasse) (Manessestrasse),data/prepared/profiles/Z068_Manessestrasse.csv,47.37021578127958,8.524962883805927,1440
Z069_Badenerstrasse,Z069,Badenerstrasse,Z069 - Seebahnstrasse (Stauffacherstrasse) (Badenerstrasse),data/prepared/profiles/Z069_Badenerstrasse.csv,47.37852704850412,8.519328226892359,1440
Z069_Hohlstrasse,Z069,Hohlstrasse,Z069 - Seebahnstrasse (Stauffacherstrasse) (Hohlstrasse),data/prepared/profiles/Z069_Hohlstrasse.csv,47.37878550851512,8.519671028153146,1440
Z070_Hardplatz,Z070,Hardplatz,Z070 - Hohlstrasse (Erismannstrasse) (Hardplatz),data/prepared/profiles/Z070_Hardplatz.csv,47.38054017249113,8.519595110234201,1440
Z070_Seebahnstrasse,Z070,Seebahnstrasse,Z070 - Hohlstrasse (Erismannstrasse) (Seebahnstrasse),data/prepared/profiles/Z070_Seebahnstrasse.csv,47.380390654096914,8.519597242575475,1440
Z071_Albisriederplatz,Z071,Albisriederplatz,Z071 - Badenerstrasse (Zypressenstrasse) (Albisriederplatz),data/prepared/profiles/Z071_Albisriederplatz.csv,47.376922211415916,8.513623307969935,600
Z071_Seebahnstrasse,Z071,Seebahnstrasse,Z071 - Badenerstrasse (Zypressenstrasse) (Seebahnstrasse),data/prepared/profiles/Z071_Seebahnstrasse.csv,47.37682277025372,8.513512185320067,600
Z072_auswärts,Z072,auswärts,Z072 - Manessestrasse (Weststrasse) (auswärts),data/prepared/profiles/Z072_auswärts.csv,47.36897007960429,8.524901881687528,1440
Z072_einwärts,Z072,einwärts,Z072 - Manessestrasse (Weststrasse) (einwärts),data/prepared/profiles/Z072_einwärts.csv,47.368903055450986,8.524998627443635,1440
Z073_See,Z073,See,Z073 - Stauffacherbrücke (See),data/prepared/profiles/Z073_See.csv,47.37115680332746,8.530596239868975,1440
Z073_Stauffacher,Z073,Stauffacher,Z073 - Stauffacherbrücke (Stauffacher),data/prepared/profiles/Z073_Stauffacher.csv,47.37111285231324,8.531058641560062,1080
Z074_Hauptbahnhof,Z074,Hauptbahnhof,Z074 - Stauffacherquai (Stauffacherbrücke) (Hauptbahnhof),data/prepared/profiles/Z074_Hauptbahnhof.csv,47.37145431528711,8.530506071864163,1440
Z075_See,Z075,See,Z075 - Stauffacherstrasse (Stauffacherbrücke) (See),data/prepared/profiles/Z075_See.csv,47.371151137133154,8.53061519082687,1440
Z075_Stauffacher,Z075,Stauffacher,Z075 - Stauffacherstrasse (Stauffacherbrücke) (Stauffacher),data/prepared/profiles/Z075_Stauffacher.csv,47.37151936981992,8.530132814144691,1440
Z076_auswärts,Z076,auswärts,Z076 - Pfingstweidstrasse (Sportweg) (auswärts),data/prepared/profiles/Z076_auswärts.csv,47.39167313281813,8.505315600321229,1440
Z076_einwärts,Z076,einwärts,Z076 - Pfingstweidstrasse (Sportweg) (einwärts),data/prepared/profiles/Z076_einwärts.csv,47.39204825997651,8.503654097423942,840
Z077_Manessestrasse,Z077,Manessestrasse,Z077 - Sihlhölzlibrücke (Ulmbergtunnel) (Manessestrasse),data/prepared/profiles/Z077_Manessestrasse.csv,47.36882701019932,8.528659109308855,1440
Z078_auswärts,Z078,auswärts,Z078 - Birmensdorferstrasse (Wasserschöpfi) (auswärts),data/prepared/profiles/Z078_auswärts.csv,47.36937407227268,8.505346061025707,1440
Z078_einwärts,Z078,einwärts,Z078 - Birmensdorferstrasse (Wasserschöpfi) (einwärts),data/prepared/profiles/Z078_einwärts.csv,47.3693401207719,8.506100089309687,1440
Z079_Uetlibergtunnel,Z079,Uetlibergtunnel,Z079 - A3W (A4 Uetlibergtunnel Brunau) (Uetlibergtunnel),data/prepared/profiles/Z079_Uetlibergtunnel.csv,47.347114922947426,8.520002347569006,1440
Z079_einwärts,Z079,einwärts,Z079 - A3W (A4 Uetlibergtunnel Brunau) (einwärts),data/prepared/profiles/Z079_einwärts.csv,47.346949007453595,8.52035275371031,1440
Z080_Chur,Z080,Chur,Z080 - A3W (Chur Brunau) (Chur),data/prepared/profiles/Z080_Chur.csv,47.34705542613411,8.520121711850527,1440
Z080_einwärts,Z080,einwärts,Z080 - A3W (Chur Brunau) (einwärts),data/prepared/profiles/Z080_einwärts.csv,47.34700429740876,8.520231187005958,1440
Z081_Hardbrücke,Z081,Hardbrücke,Z081 - Pfingstweidstrasse (Welti Furrer Ausfahrt) (Hardbrücke),data/prepared/profiles/Z081_Hardbrücke.csv,47.38772352840563,8.517933398837576,1440
Z081_auswärts,Z081,auswärts,Z081 - Pfingstweidstrasse (Welti Furrer Ausfahrt) (auswärts),data/prepared/profiles/Z081_auswärts.csv,47.38805488411203,8.517444608368994,1435
Z082_Albissriederplatz,Z082,Albissriederplatz,Z082 - Hardbrücke (Hardstrasse) (Albissriederplatz),data/prepared/profiles/Z082_Albissriederplatz.csv,47.38318543249688,8.515117080357289,1440
Z082_Bucheggplatz,Z082,Bucheggplatz,Z082 - Hardbrücke (Hardstrasse) (Bucheggplatz),data/prepared/profiles/Z082_Bucheggplatz.csv,47.38316222642134,8.515165216890997,1440
Z083_Bucheggplatz,Z083,Bucheggplatz,Z083 - Hardbrücke Rampen (Hohlstrasse) (Bucheggplatz),data/prepared/profiles/Z083_Bucheggplatz.csv,47.383456957178055,8.515613255748413,1440
Z083_Hohlstrasse,Z083,Hohlstrasse,Z083 - Hardbrücke Rampen (Hohlstrasse) (Hohlstrasse),data/prepared/profiles/Z083_Hohlstrasse.csv,47.38351136445932,8.51533477373783,1440
Z084_Bleicherweg,Z084,Bleicherweg,Z084 - Angererstrasse Tunnelstrasse (Ulmbergtunnel) (Bleicherweg),data/prepared/profiles/Z084_Bleicherweg.csv,47.366466351300716,8.531568883645788,1440
Z084_Sihlhölzli,Z084,Sihlhölzli,Z084 - Angererstrasse Tunnelstrasse (Ulmbergtunnel) (Sihlhölzli),data/prepared/profiles/Z084_Sihlhölzli.csv,47.36656277312665,8.531835657530305,1440
Z085_See,Z085,See,Z085 - Alfred-Escher-Strasse (Ulmbergtunnel) (See),data/prepared/profiles/Z085_See.csv,47.36650144802103,8.531662282054508,1440
Z085_Sihlhölzli,Z085,Sihlhölzli,Z085 - Alfred-Escher-Strasse (Ulmbergtunnel) (Sihlhölzli),data/prepared/profiles/Z085_Sihlhölzli.csv,47.36655465676169,8.531742812120694,1440
Z086_Affoltern,Z086,Affoltern,Z086 - Binzmuehlestrasse (Seebacherstrasse) (Affoltern),data/prepared/profiles/Z086_Affoltern.csv,47.414559274953234,8.520496634375954,1440
Z086_Oerlikon,Z086,Oerlikon,Z086 - Binzmuehlestrasse (Seebacherstrasse) (Oerlikon),data/prepared/profiles/Z086_Oerlikon.csv,47.41450469522589,8.520561784516536,1200
Z087_Affoltern,Z087,Affoltern,Z087 - Wehntalerstrasse (Nordheimstrasse) (Affoltern),data/prepared/profiles/Z087_Affoltern.csv,47.404223880928235,8.533880431162403,1440
Z087_einwärts,Z087,einwärts,Z087 - Wehntalerstrasse (Nordheimstrasse) (einwärts),data/prepared/profiles/Z087_einwärts.csv,47.404098351353205,8.53383810273051,1440
Z088_Affoltern,Z088,Affoltern,Z088 - Regensbergstrasse (Birchstrasse) (Affoltern),data/prepared/profiles/Z088_Affoltern.csv,47.40966822729527,8.537424278824602,1320
