profile_id,counter_id,name,direction,display_name,x_coord,y_coord,lat,lon,coordinates,file
Z036_Birmensdorferstrasse,Z036,Schweighofstrasse (Hägelerweg),Birmensdorferstrasse,Z036 - Schweighofstrasse (Hägelerweg) (Birmensdorferstrasse),2680283.75,1246891.47,47.36797428191999,8.501528061528308,"[47.36797428191999,8.501528061528308]",data/prepared/profiles/Z036_Birmensdorferstrasse.csv
Z037_Klusplatz,Z037,Bergstrasse (Schneckenmannstrasse),Klusplatz,Z037 - Bergstrasse (Schneckenmannstrasse) (Klusplatz),2684724.39,1247752.19,47.37515910301261,8.560474245027706,"[47.37515910301261,8.560474245027706]",data/prepared/profiles/Z037_Klusplatz.csv
Z037_Vorderberg,Z037,Bergstrasse (Schneckenmannstrasse),Vorderberg,Z037 - Bergstrasse (Schneckenmannstrasse) (Vorderberg),2684723.22,1247762.38,47.37525089552865,8.56046068380948,"[47.37525089552865,8.56046068380948]",data/prepared/profiles/Z037_Vorderberg.csv
Z038_Bucheggplatz,Z038,Rosengartenstrasse (Nordstrasse),Bucheggplatz,Z038 - Rosengartenstrasse (Nordstrasse) (Bucheggplatz),2682070.59,1249909.12,47.39489304028647,8.525735057432787,"[47.39489304028647,8.525735057432787]",data/prepared/profiles/Z038_Bucheggplatz.csv
Z038_Hardbrücke,Z038,Rosengartenstrasse (Nordstrasse),Hardbrücke,Z038 - Rosengartenstrasse (Nordstrasse) (Hardbrücke),2682064.64,1249911.79,47.39491779381528,8.52565674347073,"[47.39491779381528,8.52565674347073]",data/prepared/profiles/Z038_Hardbrücke.csv
Z039_Albisriederplatz und Hohlstrasse,Z039,Hardbrücke (SBB PJZ),Albisriederplatz und Hohlstrasse,Z039 - Hardbrücke (SBB PJZ) (Albisriederplatz und Hohlstrasse),2681286.9,1248596.51,47.38318543249688,8.515117080357289,"[47.38318543249688,8.515117080357289]",data/prepared/profiles/Z039_Albisriederplatz und Hohlstrasse.csv
Z040_Birmensdorferstrasse,Z040,Seebahnstrasse (Kalkbreitestrasse),Birmensdorferstrasse,Z040 - Seebahnstrasse (Kalkbreitestrasse) (Birmensdorferstrasse),2681663.21,1247514.92,47.37341173409184,8.51990261622895,"[47.37341173409184,8.51990261622895]",data/prepared/profiles/Z040_Birmensdorferstrasse.csv
Z040_Hohlstrasse,Z040,Seebahnstrasse (Kalkbreitestrasse),Hohlstrasse,Z040 - Seebahnstrasse (Kalkbreitestrasse) (Hohlstrasse),2681633.58,1247560.63,47.37382649394906,8.519518680146435,"[47.37382649394906,8.519518680146435]",data/prepared/profiles/Z040_Hohlstrasse.csv
Z041_Löwenplatz,Z041,Gessnerallee (Usteribrücke),Löwenplatz,Z041 - Gessnerallee (Usteribrücke) (Löwenplatz),2682889.23,1247807.07,47.37588606955875,8.536187968687782,"[47.37588606955875,8.536187968687782]",data/prepared/profiles/Z041_Löwenplatz.csv
Z041_Selnau,Z041,Gessnerallee (Usteribrücke),Selnau,Z041 - Gessnerallee (Usteribrücke) (Selnau),2682836.17,1247804.28,47.375867650629665,8.535484959459794,"[47.375867650629665,8.535484959459794]",data/prepared/profiles/Z041_Selnau.csv
Z042_Rudolf-Brun-Brücke,Z042,Limmatquai (Rudolf-Brun-Brücke),Rudolf-Brun-Brücke,Z042 - Limmatquai (Rudolf-Brun-Brücke) (Rudolf-Brun-Brücke),2683405.82,1247669.65,47.37458501419838,8.543001794604349,"[47.37458501419838,8.543001794604349]",data/prepared/profiles/Z042_Rudolf-Brun-Brücke.csv
Z043_Central und Mühlegasse,Z043,Seilergraben (Mühlegasse),Central und Mühlegasse,Z043 - Seilergraben (Mühlegasse) (Central und Mühlegasse),2683632.81,1247672.67,47.374583403246596,8.546007535300971,"[47.374583403246596,8.546007535300971]",data/prepared/profiles/Z043_Central und Mühlegasse.csv
Z043_Heimplatz,Z043,Seilergraben (Mühlegasse),Heimplatz,Z043 - Seilergraben (Mühlegasse) (Heimplatz),2683674.15,1247582.01,47.37376281697536,8.546537898294932,"[47.37376281697536,8.546537898294932]",data/prepared/profiles/Z043_Heimplatz.csv
Z044_Brudolf-Brun-Brücke,Z044,Uraniastrasse (Bahnhofstrasse),Brudolf-Brun-Brücke,Z044 - Uraniastrasse (Bahnhofstrasse) (Brudolf-Brun-Brücke),2683078.85,1247647.59,47.37442792621664,8.53866885821706,"[47.37442792621664,8.53866885821706]",data/prepared/profiles/Z044_Brudolf-Brun-Brücke.csv
Z044_Sihlporte,Z044,Uraniastrasse (Bahnhofstrasse),Sihlporte,Z044 - Uraniastrasse (Bahnhofstrasse) (Sihlporte),2683081.42,1247664.83,47.37458264791514,8.538706082943781,"[47.37458264791514,8.538706082943781]",data/prepared/profiles/Z044_Sihlporte.csv
Z045_See,Z045,Talstrasse (Pelikanstrasse),See,Z045 - Talstrasse (Pelikanstrasse) (See),2682833.88,1247221.96,47.37063091313492,8.535346883648968,"[47.37063091313492,8.535346883648968]",data/prepared/profiles/Z045_See.csv
Z045_Sihlporte,Z045,Talstrasse (Pelikanstrasse),Sihlporte,Z045 - Talstrasse (Pelikanstrasse) (Sihlporte),2682837.98,1247228.78,47.37069173265866,8.53540242259822,"[47.37069173265866,8.53540242259822]",data/prepared/profiles/Z045_Sihlporte.csv
Z046_Heimplatz,Z046,Zeltweg (Merkurstrasse),Heimplatz,Z046 - Zeltweg (Merkurstrasse) (Heimplatz),2684191.84,1246842.02,47.36704187975659,8.553252443258863,"[47.36704187975659,8.553252443258863]",data/prepared/profiles/Z046_Heimplatz.csv
Z046_Kreuzplatz,Z046,Zeltweg (Merkurstrasse),Kreuzplatz,Z046 - Zeltweg (Merkurstrasse) (Kreuzplatz),2684205.99,1246807.88,47.366733038291294,8.553433331074576,"[47.366733038291294,8.553433331074576]",data/prepared/profiles/Z046_Kreuzplatz.csv
Z047_Heimplatz,Z047,Hottingerstrasse (Freiestrasse),Heimplatz,Z047 - Hottingerstrasse (Freiestrasse) (Heimplatz),2684379.94,1247093.75,47.369281721373945,8.555789831541052,"[47.369281721373945,8.555789831541052]",data/prepared/profiles/Z047_Heimplatz.csv
Z047_Klusplatz,Z047,Hottingerstrasse (Freiestrasse),Klusplatz,Z047 - Hottingerstrasse (Freiestrasse) (Klusplatz),2684393.48,1247079.64,47.36915309123308,8.555966412934342,"[47.36915309123308,8.555966412934342]",data/prepared/profiles/Z047_Klusplatz.csv
Z048_Bellevue,Z048,Rämistrasse (Stadelhoferstrasse),Bellevue,Z048 - Rämistrasse (Stadelhoferstrasse) (Bellevue),2683639.46,1246923.62,47.36784607618591,8.545955627678723,"[47.36784607618591,8.545955627678723]",data/prepared/profiles/Z048_Bellevue.csv
